,cost_multiplier,agent,action,duration,cost,level,time,phase,phase_name,location,site_depth,max_waveheight,max_windspeed,transit_speed,num_vessels,num_ahts_vessels
1359,,Substructure Assembly Line 2,Substructure Assembly,0.0,0.0,ACTION,4052.769230769231,GravityBasedInstallation,,,,,,,,
1360,,Turbine Assembly Line 2,Electrical Completion,72.0,0.0,ACTION,4053.346153846154,GravityBasedInstallation,,,,,,,,
1361,,Substructure Assembly Line 1,Delay: No Substructure Storage Available,146.5,0.0,ACTION,4053.346153846154,GravityBasedInstallation,,,,,,,,
1362,,Substructure Assembly Line 1,Substructure Assembly,0.0,0.0,ACTION,4053.346153846154,GravityBasedInstallation,,,,,,,,
1363,,Turbine Assembly Line 1,Move Substructure,8.0,0.0,ACTION,4060.769230769231,GravityBasedInstallation,,,,,,,,
1365,,Turbine Assembly Line 2,Move Substructure,8.0,0.0,ACTION,4061.346153846154,GravityBasedInstallation,,,,,,,,
1367,,Towing Group 1,Tow Substructure,20.0,93790.0,ACTION,4072.769230769231,GravityBasedInstallation,,,,,,,3.0,0.0
1368,,Turbine Assembly Line 1,Prepare for Turbine Assembly,12.0,0.0,ACTION,4072.769230769231,GravityBasedInstallation,,,,,,,,
1369,,Multi-Purpose AHTS Vessel,Delay: Not enough vessels for gravity foundations,60.03846153846143,268139.2740384611,ACTION,4072.769230769231,GravityBasedInstallation,,Site,,,,,,
1370,,Turbine Assembly Line 2,Prepare for Turbine Assembly,12.0,0.0,ACTION,4073.346153846154,GravityBasedInstallation,,,,,,,,
1373,,Turbine Assembly Line 1,Lift and Attach Tower Section,4.0,0.0,ACTION,4076.769230769231,GravityBasedInstallation,,,,,,,,
1374,,Multi-Purpose AHTS Vessel,Delay,4.0,17864.5,ACTION,4076.769230769231,GravityBasedInstallation,,,,,,,,
1375,,Turbine Assembly Line 2,Lift and Attach Tower Section,4.0,0.0,ACTION,4077.346153846154,GravityBasedInstallation,,,,,,,,
1376,,Turbine Assembly Line 1,Lift and Attach Tower Section,4.0,0.0,ACTION,4080.769230769231,GravityBasedInstallation,,,,,,,,
1377,,Turbine Assembly Line 2,Lift and Attach Tower Section,4.0,0.0,ACTION,4081.346153846154,GravityBasedInstallation,,,,,,,,
1378,,Multi-Purpose AHTS Vessel,Position Substructure,5.0,22330.625,ACTION,4081.769230769231,GravityBasedInstallation,,,,,,,,
1379,,Multi-Purpose AHTS Vessel,ROV Survey,1.0,4466.125,ACTION,4082.769230769231,GravityBasedInstallation,,,,,,,,
1381,,Turbine Assembly Line 2,Delay,6.0,0.0,ACTION,4087.346153846154,GravityBasedInstallation,,,,,,,,
1382,,Turbine Assembly Line 1,Delay,7.0,0.0,ACTION,4087.769230769231,GravityBasedInstallation,,,,,,,,
1383,,Turbine Assembly Line 2,Lift and Attach Nacelle,12.0,0.0,ACTION,4099.346153846154,GravityBasedInstallation,,,,,,,,
1384,,Turbine Assembly Line 1,Lift and Attach Nacelle,12.0,0.0,ACTION,4099.7692307692305,GravityBasedInstallation,,,,,,,,
1386,,Turbine Assembly Line 2,Delay,8.0,0.0,ACTION,4107.346153846154,GravityBasedInstallation,,,,,,,,
1387,,Multi-Purpose AHTS Vessel,Delay,25.0,111653.125,ACTION,4107.7692307692305,GravityBasedInstallation,,,,,,,,
1388,,Turbine Assembly Line 1,Delay,8.0,0.0,ACTION,4107.7692307692305,GravityBasedInstallation,,,,,,,,
1389,,Turbine Assembly Line 2,Lift and Attach Blade,3.5,0.0,ACTION,4110.846153846154,GravityBasedInstallation,,,,,,,,
1390,,Turbine Assembly Line 1,Lift and Attach Blade,3.5,0.0,ACTION,4111.2692307692305,GravityBasedInstallation,,,,,,,,
1391,,Multi-Purpose AHTS Vessel,Pump Ballast,12.0,53593.5,ACTION,4119.7692307692305,GravityBasedInstallation,,,,,,,,
1392,,Multi-Purpose AHTS Vessel,Grout GBF,6.0,26796.75,ACTION,4125.7692307692305,GravityBasedInstallation,,,,,,,,
1393,,Towing Group 1,Positioning Support,52.999999999999545,82847.83333333263,ACTION,4125.7692307692305,GravityBasedInstallation,,site,,,,,1.0,
1394,,Turbine Assembly Line 1,Delay,17.0,0.0,ACTION,4128.2692307692305,GravityBasedInstallation,,,,,,,,
1395,,Turbine Assembly Line 2,Delay,18.0,0.0,ACTION,4128.846153846154,GravityBasedInstallation,,,,,,,,
