,cost_multiplier,agent,action,duration,cost,level,time,phase,site_depth,hub_height,phase_name,per_trip,location,max_waveheight,max_windspeed,transit_speed
1774,,WTIV,Jackdown,0.43333333333333335,7222.222222222223,ACTION,2210.144169599446,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1776,,WTIV,Position Onsite,2.0,33333.333333333336,ACTION,2212.144169599446,MonopileInstallation,,,,,,,,
1778,,WTIV,Jackup,0.43333333333333335,7222.222222222223,ACTION,2212.577502932779,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1780,,WTIV,RovSurvey,1.0,16666.666666666668,ACTION,2213.577502932779,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1783,,WTIV,Release Monopile,3.0,50000.0,ACTION,2216.577502932779,MonopileInstallation,,,,,,,,
1784,,WTIV,Upend Monopile,0.8163377964765433,13605.629941275722,ACTION,2217.3938407292558,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1785,,WTIV,Lower Monopile,0.005,83.33333333333334,ACTION,2217.398840729256,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1786,,WTIV,Crane Reequip,1.0,16666.666666666668,ACTION,2218.398840729256,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1787,,WTIV,Drive Monopile,1.5,25000.0,ACTION,2219.898840729256,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1788,,WTIV,Release Transition Piece,2.0,33333.333333333336,ACTION,2221.898840729256,MonopileInstallation,,,,,,,,
1790,,WTIV,Crane Reequip,1.0,16666.666666666668,ACTION,2222.898840729256,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1791,,WTIV,Lower TP,1.0,16666.666666666668,ACTION,2223.898840729256,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1794,,WTIV,Bolt TP,4.0,66666.66666666667,ACTION,2227.898840729256,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1795,,WTIV,Jackdown,0.43333333333333335,7222.222222222223,ACTION,2228.3321740625893,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1800,,WTIV,Transit,12.0,200000.0,ACTION,2240.3321740625893,MonopileInstallation,,,,,,,,
1808,,WTIV,Fasten Monopile,12.0,200000.0,ACTION,2252.3321740625893,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1815,,WTIV,Fasten Transition Piece,8.0,133333.33333333334,ACTION,2260.3321740625893,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1828,,WTIV,Fasten Monopile,12.0,200000.0,ACTION,2272.3321740625893,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1835,,WTIV,Fasten Transition Piece,8.0,133333.33333333334,ACTION,2280.3321740625893,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1843,,WTIV,Fasten Monopile,12.0,200000.0,ACTION,2292.3321740625893,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1848,,WTIV,Delay,43.0,716666.6666666667,ACTION,2335.3321740625893,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1850,,WTIV,Fasten Transition Piece,8.0,133333.33333333334,ACTION,2343.3321740625893,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1861,,WTIV,Transit,12.0,200000.0,ACTION,2355.3321740625893,MonopileInstallation,,,,,,,,
1866,,WTIV,Position Onsite,2.0,33333.333333333336,ACTION,2357.3321740625893,MonopileInstallation,,,,,,,,
1867,,WTIV,Jackup,0.43333333333333335,7222.222222222223,ACTION,2357.7655073959227,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1868,,WTIV,RovSurvey,1.0,16666.666666666668,ACTION,2358.7655073959227,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1871,,WTIV,Release Monopile,3.0,50000.0,ACTION,2361.7655073959227,MonopileInstallation,,,,,,,,
1873,,WTIV,Upend Monopile,0.8163377964765433,13605.629941275722,ACTION,2362.581845192399,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1874,,WTIV,Lower Monopile,0.005,83.33333333333334,ACTION,2362.5868451923993,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1876,,WTIV,Crane Reequip,1.0,16666.666666666668,ACTION,2363.5868451923993,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1878,,WTIV,Drive Monopile,1.5,25000.0,ACTION,2365.0868451923993,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1881,,WTIV,Release Transition Piece,2.0,33333.333333333336,ACTION,2367.0868451923993,MonopileInstallation,,,,,,,,
1883,,WTIV,Crane Reequip,1.0,16666.666666666668,ACTION,2368.0868451923993,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1884,,WTIV,Lower TP,1.0,16666.666666666668,ACTION,2369.0868451923993,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1889,,WTIV,Bolt TP,4.0,66666.66666666667,ACTION,2373.0868451923993,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1890,,WTIV,Jackdown,0.43333333333333335,7222.222222222223,ACTION,2373.5201785257327,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1892,,WTIV,Position Onsite,2.0,33333.333333333336,ACTION,2375.5201785257327,MonopileInstallation,,,,,,,,
1893,,WTIV,Jackup,0.43333333333333335,7222.222222222223,ACTION,2375.953511859066,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1896,,WTIV,RovSurvey,1.0,16666.666666666668,ACTION,2376.953511859066,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1897,,WTIV,Delay,20.0,333333.3333333334,ACTION,2396.953511859066,MonopileInstallation,,,,,,,,
1898,,WTIV,Release Monopile,3.0,50000.0,ACTION,2399.953511859066,MonopileInstallation,,,,,,,,
