,cost_multiplier,agent,action,duration,cost,level,time,phase,site_depth,hub_height,phase_name,num_vessels,num_ahts_vessels,location,max_waveheight,max_windspeed,transit_speed
490,,Multi-Purpose AHTS Vessel,Delay: Not enough vessels for gravity foundations,28.571428571428555,127603.57142857136,ACTION,659.7142857142857,GravityBasedInstallation,,,,,,Site,,,
493,,Multi-Purpose AHTS Vessel,Position Substructure,5.0,22330.625,ACTION,664.7142857142857,GravityBasedInstallation,,,,,,,,,
495,,Multi-Purpose AHTS Vessel,ROV Survey,1.0,4466.125,ACTION,665.7142857142857,GravityBasedInstallation,,,,,,,,,
502,,Multi-Purpose AHTS Vessel,Pump Ballast,12.0,53593.5,ACTION,677.7142857142857,GravityBasedInstallation,,,,,,,,,
505,,Multi-Purpose AHTS Vessel,Grout GBF,6.0,26796.75,ACTION,683.7142857142857,GravityBasedInstallation,,,,,,,,,
506,,Towing Group 1,Positioning Support,24.0,37516.0,ACTION,683.7142857142857,GravityBasedInstallation,,,,1.0,,site,,,
515,,Towing Group 1,Transit,8.571428571428571,40195.71428571428,ACTION,692.2857142857142,GravityBasedInstallation,,,,3.0,0.0,,,,
516,,Substructure Assembly Line 1,Delay: No Substructure Storage Available,52.57099999875686,0.0,ACTION,692.2859999905415,GravityBasedInstallation,,,,,,,,,
517,,Substructure Assembly Line 1,Substructure Assembly,0.0,0.0,ACTION,692.2859999905415,GravityBasedInstallation,,,,,,,,,
528,,Towing Group 1,Tow Substructure,20.0,93790.0,ACTION,712.2857142857142,GravityBasedInstallation,,,,3.0,0.0,,,,
529,,Multi-Purpose AHTS Vessel,Delay: Not enough vessels for gravity foundations,28.571428571428555,127603.57142857136,ACTION,712.2857142857142,GravityBasedInstallation,,,,,,Site,,,
