,cost_multiplier,agent,action,duration,cost,level,time,phase,phase_name,location,site_depth,max_waveheight,max_windspeed,transit_speed,num_vessels,num_ahts_vessels
438,,Multi-Purpose AHTS Vessel,ROV Survey,1.0,4466.125,ACTION,1248.5,GravityBasedInstallation,,,,,,,,
443,,Turbine Assembly Line 1,Lift and Attach Nacelle,12.0,0.0,ACTION,1257.5,GravityBasedInstallation,,,,,,,,
444,,Multi-Purpose AHTS Vessel,Pump Ballast,12.0,53593.5,ACTION,1260.5,GravityBasedInstallation,,,,,,,,
445,,Turbine Assembly Line 1,Lift and Attach Blade,3.5,0.0,ACTION,1261.0,GravityBasedInstallation,,,,,,,,
449,,Turbine Assembly Line 1,Lift and Attach Blade,3.5,0.0,ACTION,1264.5,GravityBasedInstallation,,,,,,,,
450,,Multi-Purpose AHTS Vessel,Grout GBF,6.0,26796.75,ACTION,1266.5,GravityBasedInstallation,,,,,,,,
451,,Towing Group 1,Positioning Support,85.0,132869.1666666667,ACTION,1266.5,GravityBasedInstallation,,site,,,,,1.0,
454,,Towing Group 1,Transit,8.571428571428571,40195.71428571428,ACTION,1275.0714285714287,GravityBasedInstallation,,,,,,,3.0,0.0
455,,Turbine Assembly Line 1,Delay,16.0,0.0,ACTION,1280.5,GravityBasedInstallation,,,,,,,,
456,,Turbine Assembly Line 1,Lift and Attach Blade,3.5,0.0,ACTION,1284.0,GravityBasedInstallation,,,,,,,,
463,,Turbine Assembly Line 1,Mechanical Completion,24.0,0.0,ACTION,1308.0,GravityBasedInstallation,,,,,,,,
492,,Turbine Assembly Line 1,Delay,194.0,0.0,ACTION,1502.0,GravityBasedInstallation,,,,,,,,
514,,Turbine Assembly Line 1,Electrical Completion,72.0,0.0,ACTION,1574.0,GravityBasedInstallation,,,,,,,,
515,,Towing Group 1,Delay: No Completed Assemblies Available,298.92857142857133,1401825.5357142852,ACTION,1574.0,GravityBasedInstallation,,,,,,,3.0,
516,,Substructure Assembly Line 1,Delay: No Substructure Storage Available,412.5,0.0,ACTION,1574.0,GravityBasedInstallation,,,,,,,,
