,cost_multiplier,agent,action,duration,cost,level,time,phase,site_depth,hub_height,phase_name,num_vessels,num_ahts_vessels,location,max_waveheight,max_windspeed,transit_speed
2577,,WTIV,Lift Nacelle,1.5,25000.0,ACTION,4291.233333333336,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2578,,WTIV,Attach Nacelle,6.0,100000.0,ACTION,4297.233333333336,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2579,,WTIV,Reequip,1.0,16666.666666666668,ACTION,4298.233333333336,TurbineInstallation,,,,,,,,,
2580,,WTIV,Release Blade,1.0,16666.666666666668,ACTION,4299.233333333336,TurbineInstallation,,,,,,,,,
2581,,WTIV,Lift Blade,1.5,25000.0,ACTION,4300.733333333336,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2582,,WTIV,Attach Blade,3.5,58333.333333333336,ACTION,4304.233333333336,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2583,,WTIV,Release Blade,1.0,16666.666666666668,ACTION,4305.233333333336,TurbineInstallation,,,,,,,,,
2584,,WTIV,Lift Blade,1.5,25000.0,ACTION,4306.733333333336,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2585,,WTIV,Attach Blade,3.5,58333.333333333336,ACTION,4310.233333333336,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2586,,WTIV,Release Blade,1.0,16666.666666666668,ACTION,4311.233333333336,TurbineInstallation,,,,,,,,,
2587,,WTIV,Lift Blade,1.5,25000.0,ACTION,4312.733333333336,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2588,,WTIV,Attach Blade,3.5,58333.333333333336,ACTION,4316.233333333336,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2589,,WTIV,Jackdown,0.43333333333333335,7222.222222222223,ACTION,4316.66666666667,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2590,,WTIV,Transit,12.0,200000.0,ACTION,4328.66666666667,TurbineInstallation,,,,,,,,,
2591,,WTIV,Fasten Tower Section,4.0,66666.66666666667,ACTION,4332.66666666667,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2592,,WTIV,Fasten Tower Section,4.0,66666.66666666667,ACTION,4336.66666666667,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2593,,WTIV,Fasten Nacelle,4.0,66666.66666666667,ACTION,4340.66666666667,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2594,,WTIV,Fasten Blade,1.5,25000.0,ACTION,4342.16666666667,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2595,,WTIV,Fasten Blade,1.5,25000.0,ACTION,4343.66666666667,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2596,,WTIV,Fasten Blade,1.5,25000.0,ACTION,4345.16666666667,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2597,,WTIV,Fasten Tower Section,4.0,66666.66666666667,ACTION,4349.16666666667,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2598,,WTIV,Fasten Tower Section,4.0,66666.66666666667,ACTION,4353.16666666667,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2601,,WTIV,Fasten Nacelle,4.0,66666.66666666667,ACTION,4357.16666666667,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2602,,WTIV,Fasten Blade,1.5,25000.0,ACTION,4358.66666666667,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2603,,WTIV,Fasten Blade,1.5,25000.0,ACTION,4360.16666666667,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2605,,WTIV,Fasten Blade,1.5,25000.0,ACTION,4361.66666666667,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2609,,WTIV,Transit,12.0,200000.0,ACTION,4373.66666666667,TurbineInstallation,,,,,,,,,
2611,,WTIV,Position Onsite,2.0,33333.333333333336,ACTION,4375.66666666667,TurbineInstallation,,,,,,,,,
2612,,WTIV,Jackup,0.43333333333333335,7222.222222222223,ACTION,4376.100000000003,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2613,,WTIV,Release Tower Section,3.0,50000.0,ACTION,4379.100000000003,TurbineInstallation,,,,,,,,,
2614,,WTIV,Lift Tower Section,0.75,12500.0,ACTION,4379.850000000003,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2617,,WTIV,Attach Tower Section,6.0,100000.0,ACTION,4385.850000000003,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2618,,WTIV,Release Tower Section,3.0,50000.0,ACTION,4388.850000000003,TurbineInstallation,,,,,,,,,
